Index,Name,Year Opened,Region,Latitude,Longitude
1902,Fernson Brewing Company,2014,South Dakota,43.5488656,-96.7201248
1903,Fernson Brewing Company,2014,South Dakota,43.6079726,-96.7075138
1904,Ferrari Beer Company,2014,New York,41.0145418,-73.872635
1905,Fetch Brewing,2014,Michigan,43.4097481,-86.347399
1906,Fetching Lab Brewery,2015,Texas,29.3962098,-95.1872357
1907,FH Beerworks,2014,Colorado,38.8259701,-104.8236428
1908,Fibonacci Brewing Company,2014,Ohio,39.231209,-84.54097
1909,Fiction Beer Company,2014,Colorado,39.7403815,-104.9057314
1910,Fiddlehead Brewing Company,2011,Vermont,44.366199,-73.232674
1911,Fiddlin' Fish Brewery,2017,North Carolina,36.1042576,-80.246753
1912,Fieldwork Brewing Co.,2014,California,37.8812674,-122.30234
1913,Fifth Frame Brewing,2017,New York,43.1599471,-77.6104274
1914,Fifth Frame Brewing,2017,New York,43.1599471,-77.6104274
1915,Fifth Street Brewpub,2012,Ohio,39.7586315,-84.1719973
1916,Fifth Ward Brewing Company,2017,Wisconsin,44.0090079,-88.5384211
1917,Fifty West Brewing Company,2012,Ohio,39.138724,-84.353144
1918,FiftyFifty Brewing Company,2006,California,39.321965,-120.163522
1919,Figueroa Mountain Brewing,2010,California,35.121052,-120.605843
1920,Figueroa Mountain Brewing,2010,California,34.1466467,-118.8073729
1921,Figueroa Mountain Brewing,2010,California,34.610657,-120.202302
1922,Figueroa Mountain Brewing,2010,California,34.9221347,-120.4261795
1923,Figueroa Mountain Brewing,2010,California,34.414738,-119.6906533
1924,Figueroa Mountain Brewing,2010,California,34.665268,-120.113982
1925,Figure Eight Brewing,2009,Indiana,41.4665264,-87.0612036
1926,Figurehead Brewing,2016,Washington,47.6561282,-122.3838381
1927,Final draft Brewing Company,2016,California,40.5822432,-122.3917159
1928,Final Gravity Brewing Co.,2011,Michigan,42.2935955,-85.5832938
1929,Final Gravity Brewing Co.,2011,Michigan,42.1086862,-85.9748386
1930,Final Gravity Brewing Co.,2015,Virginia,37.6151959,-77.4708449
1931,Finch Beer Co.,2011,Illinois,41.886288,-87.6720239
1932,Findlay Brewing Company,2013,Ohio,41.043816,-83.649637
1933,Fine Creek Brewing Company,2017,Virginia,37.5973819,-77.8173996
1934,Finest Made Ales,2016,California,32.8320616,-116.9796343
1935,Finger Lakes Beer Company,2009,New York,42.400165,-77.224988
1936,Finnegans,2000,Minnesota,44.972286,-93.2668987
1937,Finnriver Farm & Cidery,2003,Washington,47.9762401,-122.7791261
1938,Fire Island Beer Company,2009,New York,40.7610954,-73.263467
1939,Fire on the Mountain,2005,Oregon,45.5540878,-122.68189
1940,Fire on the Mountain,2005,Oregon,45.5226869,-122.6482696
1941,Fire on the Mountain,2005,Oregon,45.5479604,-122.6045927
1942,Fireside Brewing Co.,2015,Michigan,42.7815695,-86.1280482
1943,Firestone Walker Brewing Company,1996,California,35.5954123,-120.6950281
1944,Firestone Walker Brewing Company,1996,California,34.620135,-120.187688
1945,Firetrucker Brewery,2014,Iowa,41.7296526,-93.6096581
1946,FireWheel Brewery Co.,2010,Texas,32.8995398,-96.5760984
1947,First Magnitude Brewing Company,2014,Florida,29.6398091,-82.3247108
1948,Fish Brewing Company,1993,Washington,47.043721,-122.89658
